version,request,address,name,before,after,changed_bits,volatile
2.71,CR09,0x00E,TMR1L,0xEC,0xF1,"0,2,3,4",yes
2.71,CR09,0x011,TMR2,0xCC,0xD1,"0,2,3,4",yes
2.71,CR0A,0x001,TMR0,0xAA,0xAF,"0,2",yes
2.71,CR0A,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR0A,0x00E,TMR1L,0xF0,0xF5,"0,2",yes
2.71,CR0A,0x011,TMR2,0xD0,0xD5,"0,2",yes
2.71,CR0B,0x001,TMR0,0xAA,0xAF,"0,2",yes
2.71,CR0B,0x003,STATUS,0x18,0x38,5,no
2.71,CR0B,0x00E,TMR1L,0xF0,0xF5,"0,2",yes
2.71,CR0B,0x011,TMR2,0xD0,0xD5,"0,2",yes
2.71,CR0B,0x0CB,RAM_0x0CB,0x00,0x02,1,no
2.71,CR0C,0x001,TMR0,0xAA,0xAF,"0,2",yes
2.71,CR0C,0x003,STATUS,0x18,0x38,5,no
2.71,CR0C,0x00E,TMR1L,0xF0,0xF5,"0,2",yes
2.71,CR0C,0x011,TMR2,0xD0,0xD5,"0,2",yes
2.71,CR0C,0x0CB,RAM_0x0CB,0x00,0x71,"0,4,5,6",no
2.71,CR0D,0x001,TMR0,0xAA,0xAE,2,yes
2.71,CR0D,0x003,STATUS,0x18,0x3C,"2,5",no
2.71,CR0D,0x00E,TMR1L,0xF0,0xF4,2,yes
2.71,CR0D,0x011,TMR2,0xD0,0xD4,2,yes
2.71,CR0E,0x001,TMR0,0xAA,0xAE,2,yes
2.71,CR0E,0x003,STATUS,0x1A,0x3E,"2,5",no
2.71,CR0E,0x00E,TMR1L,0xF0,0xF4,2,yes
2.71,CR0E,0x011,TMR2,0xD0,0xD4,2,yes
