version,index,block_entry,sender_pc,response,response_hex,t_frame,t_index,t_value,aux_frame,aux_index,aux_value,value_ram,value_write_pcs,aux_value_ram,aux_write_pcs,sender_seen,steps,reads,writes,error
2.70,0x0C,0x0DBD,0x0771,DW0c00\x0AT0c3e\x0A,44 57 30 63 30 30 0A 54 30 63 33 65 0A,T0c3e,0x0C,0x3E,DW0c00,0x0C,0x00,0x0C8,0x0E56,0x0C9,0x0E5A,yes,856,510,394,
2.70,0x0D,0x0DBD,0x0771,T0d80\x0A,54 30 64 38 30 0A,T0d80,0x0D,0x80,,,,0x0C8,0x0E63,0x0C9,,yes,661,407,308,
2.70,0x0E,0x0DBD,0x0771,T0e05\x0A,54 30 65 30 35 0A,T0e05,0x0E,0x05,,,,0x0C8,0x0E6C,0x0C9,,yes,316,167,89,
2.70,0x0F,0x0DBD,0x0771,DW0f00\x0AT0f14\x0A,44 57 30 66 30 30 0A 54 30 66 31 34 0A,T0f14,0x0F,0x14,DW0f00,0x0F,0x00,0x0C8,0x0E75,0x0C9,0x0E79,yes,507,268,173,
2.70,0x10,0x0DBD,0x0771,DW2800\x0AT101f\x0A,44 57 32 38 30 30 0A 54 31 30 31 66 0A,T101f,0x10,0x1F,DW2800,0x28,0x00,0x0C8,0x0E81,0x0C9,0x0F35,yes,530,282,180,
2.70,0x11,0x0DBD,0x0771,DW2a00\x0AT1118\x0A,44 57 32 61 30 30 0A 54 31 31 31 38 0A,T1118,0x11,0x18,DW2a00,0x2A,0x00,0x0C8,0x0E81 0x0E89,0x0C9,0x0F35,yes,533,285,183,
2.70,0x12,0x0DBD,0x0771,DW2c00\x0AT120f\x0A,44 57 32 63 30 30 0A 54 31 32 30 66 0A,T120f,0x12,0x0F,DW2c00,0x2C,0x00,0x0C8,0x0E81 0x0E8F,0x0C9,0x0F35,yes,531,283,181,
2.70,0x13,0x0DBD,0x0771,DW2e00\x0AT1300\x0A,44 57 32 65 30 30 0A 54 31 33 30 30 0A,T1300,0x13,0x00,DW2e00,0x2E,0x00,0x0C8,0x0E81 0x0E97,0x0C9,0x0F35,yes,533,285,183,
2.70,0x14,0x0DBD,0x0771,DW3000\x0AT1400\x0A,44 57 33 30 30 30 0A 54 31 34 30 30 0A,T1400,0x14,0x00,DW3000,0x30,0x00,0x0C8,0x0E81 0x0E9F,0x0C9,0x0F35,yes,533,285,183,
2.70,0x15,0x0DBD,0x0771,DW3200\x0AT1500\x0A,44 57 33 32 30 30 0A 54 31 35 30 30 0A,T1500,0x15,0x00,DW3200,0x32,0x00,0x0C8,0x0E81 0x0EA7,0x0C9,0x0F35,yes,533,285,183,
2.70,0x16,0x0DBD,0x0771,DW3400\x0AT169c\x0A,44 57 33 34 30 30 0A 54 31 36 39 63 0A,T169c,0x16,0x9C,DW3400,0x34,0x00,0x0C8,0x0E81 0x0EB4,0x0C9,0x0F35,yes,560,304,202,
2.70,0x17,0x0DBD,0x0771,DW3600\x0AT172a\x0A,44 57 33 36 30 30 0A 54 31 37 32 61 0A,T172a,0x17,0x2A,DW3600,0x36,0x00,0x0C8,0x0E81 0x0EE5,0x0C9,0x0F35,yes,1854,1194,869,
2.70,0x18,0x0DBD,0x0771,T1870\x0A,54 31 38 37 30 0A,T1870,0x18,0x70,,,,0x0C8,0x0E81 0x0EEE,0x0C9,,yes,932,568,391,
2.70,0x19,0x0DBD,0x0771,T191c\x0A,54 31 39 31 63 0A,T191c,0x19,0x1C,,,,0x0C8,0x0E81 0x0EF8,0x0C9,,yes,1172,784,572,
2.70,0x1A,0x0DBD,0x0771,T1a00\x0A,54 31 61 30 30 0A,T1a00,0x1A,0x00,,,,0x0C8,0x0E81 0x0EFF,0x0C9,,yes,320,170,90,
2.70,0x1B,0x0DBD,0x0771,T1b00\x0A,54 31 62 30 30 0A,T1b00,0x1B,0x00,,,,0x0C8,0x0E81 0x0F06,0x0C9,,yes,320,170,90,
2.70,0x1C,0x0DBD,0x0771,T1c24\x0A,54 31 63 32 34 0A,T1c24,0x1C,0x24,,,,0x0C8,0x0E81 0x0F0F,0x0C9,,yes,322,172,92,
2.70,0x1D,0x0DBD,0x0771,T1d2c\x0A,54 31 64 32 63 0A,T1d2c,0x1D,0x2C,,,,0x0C8,0x0E81 0x0F18,0x0C9,,yes,322,172,92,
2.71,0x00,0x0DA6,0x0771,DW0000\x0AT0041\x0A,44 57 30 30 30 30 0A 54 30 30 34 31 0A,T0041,0x00,0x41,DW0000,0x00,0x00,0x0C8,0x0DB2,0x0C9,0x0DB3,yes,507,266,169,
2.71,0x01,0x0DA6,0x0771,DW0100\x0AT0100\x0A,44 57 30 31 30 30 0A 54 30 31 30 30 0A,T0100,0x01,0x00,DW0100,0x01,0x00,0x0C8,0x0DBB,0x0C9,0x0DBC,yes,509,268,171,
2.71,0x02,0x0DA6,0x0771,DW0200\x0AT0200\x0A,44 57 30 32 30 30 0A 54 30 32 30 30 0A,T0200,0x02,0x00,DW0200,0x02,0x00,0x0C8,0x0DC6,0x0C9,0x0DC7,yes,512,270,173,
2.71,0x03,0x0DA6,0x0771,DW0300\x0AT0300\x0A,44 57 30 33 30 30 0A 54 30 33 30 30 0A,T0300,0x03,0x00,DW0300,0x03,0x00,0x0C8,0x0DD6,0x0C9,0x0DD7,yes,508,267,171,
2.71,0x04,0x0DA6,0x0771,DW0400\x0AT0400\x0A,44 57 30 34 30 30 0A 54 30 34 30 30 0A,T0400,0x04,0x00,DW0400,0x04,0x00,0x0C8,0x0DDF,0x0C9,0x0DE0,yes,512,270,173,
2.71,0x05,0x0DA6,0x0771,DW0500\x0AT0500\x0A,44 57 30 35 30 30 0A 54 30 35 30 30 0A,T0500,0x05,0x00,DW0500,0x05,0x00,0x0C8,0x0DEF,0x0C9,0x0DF3,yes,511,270,173,
2.71,0x06,0x0DA6,0x0771,DW0600\x0AT0619\x0A,44 57 30 36 30 30 0A 54 30 36 31 39 0A,T0619,0x06,0x19,DW0600,0x06,0x00,0x0C8,0x0DFB,0x0C9,0x0DFF,yes,511,270,173,
2.71,0x07,0x0DA6,0x0771,T0700\x0A,54 30 37 30 30 0A,T0700,0x07,0x00,,,,0x0C8,0x0E07,0x0C9,,yes,320,169,89,
2.71,0x08,0x0DA6,0x0771,DW0800\x0AT0807\x0A,44 57 30 38 30 30 0A 54 30 38 30 37 0A,T0807,0x08,0x07,DW0800,0x08,0x00,0x0C8,0x0E10,0x0C9,0x0E14,yes,511,270,173,
2.71,0x09,0x0DA6,0x0771,T0900\x0A,54 30 39 30 30 0A,T0900,0x09,0x00,,,,0x0C8,0x0E1C,0x0C9,,yes,320,169,89,
2.71,0x0A,0x0DA6,0x0771,T0a00\x0A,54 30 61 30 30 0A,T0a00,0x0A,0x00,,,,0x0C8,0x0E25,0x0C9,,yes,320,169,89,
2.71,0x0B,0x0DA6,0x0771,T0b00\x0A,54 30 62 30 30 0A,T0b00,0x0B,0x00,,,,0x0C8,0x0E2E,0x0C9,,yes,320,169,89,
2.71,0x0C,0x0DA6,0x0771,DW0c00\x0AT0c3e\x0A,44 57 30 63 30 30 0A 54 30 63 33 65 0A,T0c3e,0x0C,0x3E,DW0c00,0x0C,0x00,0x0C8,0x0E3C,0x0C9,0x0E40,yes,860,512,394,
2.71,0x0D,0x0DA6,0x0771,T0d80\x0A,54 30 64 38 30 0A,T0d80,0x0D,0x80,,,,0x0C8,0x0E49,0x0C9,,yes,665,409,308,
2.71,0x0E,0x0DA6,0x0771,T0e05\x0A,54 30 65 30 35 0A,T0e05,0x0E,0x05,,,,0x0C8,0x0E52,0x0C9,,yes,320,169,89,
2.71,0x0F,0x0DA6,0x0771,DW0f00\x0AT0f14\x0A,44 57 30 66 30 30 0A 54 30 66 31 34 0A,T0f14,0x0F,0x14,DW0f00,0x0F,0x00,0x0C8,0x0E5B,0x0C9,0x0E5F,yes,511,270,173,
2.71,0x10,0x0DA6,0x0771,T101f\x0A,54 31 30 31 66 0A,T101f,0x10,0x1F,,,,0x0C8,0x0E67,0x0C9,,yes,322,171,89,
2.71,0x11,0x0DA6,0x0771,T1118\x0A,54 31 31 31 38 0A,T1118,0x11,0x18,,,,0x0C8,0x0E67 0x0E6F,0x0C9,,yes,325,174,92,
2.71,0x12,0x0DA6,0x0771,T120f\x0A,54 31 32 30 66 0A,T120f,0x12,0x0F,,,,0x0C8,0x0E67 0x0E75,0x0C9,,yes,323,172,90,
2.71,0x13,0x0DA6,0x0771,T1300\x0A,54 31 33 30 30 0A,T1300,0x13,0x00,,,,0x0C8,0x0E67 0x0E7D,0x0C9,,yes,325,174,92,
2.71,0x14,0x0DA6,0x0771,T1400\x0A,54 31 34 30 30 0A,T1400,0x14,0x00,,,,0x0C8,0x0E67 0x0E85,0x0C9,,yes,325,174,92,
2.71,0x15,0x0DA6,0x0771,T1500\x0A,54 31 35 30 30 0A,T1500,0x15,0x00,,,,0x0C8,0x0E67 0x0E8D,0x0C9,,yes,325,174,92,
2.71,0x16,0x0DA6,0x0771,T1600\x0A,54 31 36 30 30 0A,T1600,0x16,0x00,,,,0x0C8,0x0E67 0x0E95,0x0C9,,yes,325,174,92,
2.71,0x17,0x0DA6,0x0771,T1700\x0A,54 31 37 30 30 0A,T1700,0x17,0x00,,,,0x0C8,0x0E67 0x0E9D,0x0C9,,yes,325,174,92,
2.71,0x18,0x0DA6,0x0771,T1857\x0A,54 31 38 35 37 0A,T1857,0x18,0x57,,,,0x0C8,0x0E67 0x0EA5,0x0C9,,yes,326,174,92,
2.71,0x19,0x0DA6,0x0771,T1929\x0A,54 31 39 32 39 0A,T1929,0x19,0x29,,,,0x0C8,0x0E67 0x0EAF,0x0C9,,yes,1195,800,585,
2.71,0x1A,0x0DA6,0x0771,T1a00\x0A,54 31 61 30 30 0A,T1a00,0x1A,0x00,,,,0x0C8,0x0E67 0x0EB6,0x0C9,,yes,324,172,90,
2.71,0x1B,0x0DA6,0x0771,T1b00\x0A,54 31 62 30 30 0A,T1b00,0x1B,0x00,,,,0x0C8,0x0E67 0x0EBD,0x0C9,,yes,324,172,90,
2.71,0x1C,0x0DA6,0x0771,T1c24\x0A,54 31 63 32 34 0A,T1c24,0x1C,0x24,,,,0x0C8,0x0E67 0x0EC6,0x0C9,,yes,326,174,92,
2.71,0x1D,0x0DA6,0x0771,T1d2c\x0A,54 31 64 32 63 0A,T1d2c,0x1D,0x2C,,,,0x0C8,0x0E67 0x0ECF,0x0C9,,yes,326,174,92,
2.71,0x1E,0x0DA6,0x0771,T1e3d\x0A,54 31 65 33 64 0A,T1e3d,0x1E,0x3D,,,,0x0C8,0x0E67 0x0EFE,0x0C9,,yes,1662,1093,788,
