version,request,ordinal,command_step,pc,address,name,before,after,changed_bits,via
2.06,CR07,11,582,0x11C9,0x07A,RAM_0x07A,0x00,0x80,7,direct
2.06,CR07,12,583,0x11CA,0x079,RAM_0x079,0xA2,0x51,"0,1,4,5,6,7",direct
2.06,CR07,13,585,0x11CC,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR07,14,586,0x11CD,0x0CD,RAM_0x0CD,0x00,0x51,"0,4,6",direct
2.06,CR08,1,575,0x11D0,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR08,2,576,0x11D1,0x0CD,RAM_0x0CD,0x00,0x05,"0,2",direct
2.06,CR09,1,574,0x11D3,0x003,STATUS,0x1A,0x1E,2,alu-flag
2.06,CR09,2,575,0x11D4,0x003,STATUS,0x1E,0x3E,5,direct
2.06,CR0A,1,578,0x11D7,0x003,STATUS,0x1A,0x1E,2,alu-flag
2.06,CR0A,2,579,0x11D8,0x003,STATUS,0x1E,0x3E,5,direct
2.06,CR0B,1,579,0x11DC,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR0B,2,580,0x11DD,0x0CD,RAM_0x0CD,0x00,0x02,1,direct
2.06,CR0C,1,579,0x11E0,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR0C,2,580,0x11E1,0x0CD,RAM_0x0CD,0x00,0x06,"1,2",direct
2.06,CR0D,1,578,0x11E3,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR0D,2,579,0x11E4,0x003,STATUS,0x3A,0x3E,2,alu-flag
2.06,CR0E,1,579,0x11E7,0x003,STATUS,0x1A,0x3A,5,direct
2.06,CR0E,2,580,0x11E8,0x0CD,RAM_0x0CD,0x00,0x21,"0,5",direct
2.70,CR00,1,573,0x1248,0x003,STATUS,0x18,0x1C,2,alu-flag
2.70,CR00,2,574,0x1249,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR01,1,573,0x124B,0x003,STATUS,0x18,0x1C,2,alu-flag
2.70,CR01,2,574,0x124C,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR02,1,574,0x1000,0x00B,INTCON,0xD4,0x94,6,direct
2.70,CR02,2,575,0x1001,0x00B,INTCON,0x94,0x14,7,direct
2.70,CR02,3,580,0x1007,0x008,PORTD,0x04,0x84,7,direct
2.70,CR02,4,584,0x100C,0x008,PORTD,0x84,0xA4,5,direct
2.70,CR02,5,588,0x1011,0x008,PORTD,0xA4,0xC4,"5,6",direct
2.70,CR02,6,592,0x1016,0x00B,INTCON,0x14,0xD4,"6,7",direct
2.70,CR02,7,594,0x1250,0x003,STATUS,0x18,0x38,5,direct
2.70,CR02,8,595,0x1251,0x003,STATUS,0x38,0x3C,2,alu-flag
2.70,CR02,9,596,0x1252,0x003,STATUS,0x3C,0x1C,5,direct
2.70,CR02,10,613,0x127B,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR03,1,573,0x127D,0x003,STATUS,0x18,0x38,5,direct
2.70,CR03,2,574,0x127E,0x003,STATUS,0x38,0x3C,2,alu-flag
2.70,CR03,3,575,0x127F,0x003,STATUS,0x3C,0x1C,5,direct
2.70,CR03,4,583,0x1291,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR03,5,584,0x1292,0x0CB,RAM_0x0CB,0x00,0x08,3,direct
2.70,CR03,6,585,0x1293,0x003,STATUS,0x3C,0x1C,5,direct
2.70,CR03,7,586,0x1294,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR04,1,573,0x1296,0x003,STATUS,0x18,0x38,5,direct
2.70,CR04,2,575,0x1298,0x0CB,RAM_0x0CB,0x00,0x41,"0,6",direct
2.70,CR05,1,573,0x129A,0x003,STATUS,0x18,0x1C,2,alu-flag
2.70,CR05,2,574,0x129B,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR06,1,573,0x129E,0x003,STATUS,0x18,0x38,5,direct
2.70,CR06,2,574,0x129F,0x003,STATUS,0x38,0x3C,2,alu-flag
2.70,CR06,3,575,0x12A0,0x003,STATUS,0x3C,0x1C,5,direct
2.70,CR06,4,577,0x12A3,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR06,5,578,0x12A4,0x0CB,RAM_0x0CB,0x00,0x01,0,direct
2.70,CR06,6,579,0x12A5,0x003,STATUS,0x3C,0x1C,5,direct
2.70,CR06,7,581,0x12A8,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR06,8,582,0x12A9,0x0CB,RAM_0x0CB,0x01,0x03,1,direct
2.70,CR06,9,583,0x12AA,0x003,STATUS,0x3C,0x1C,5,direct
2.70,CR06,10,586,0x12B0,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR07,1,573,0x12B2,0x003,STATUS,0x18,0x19,0,alu-flag
2.70,CR07,2,574,0x12B3,0x07A,RAM_0x07A,0x00,0x02,1,direct
2.70,CR07,3,575,0x12B4,0x003,STATUS,0x19,0x18,0,alu-flag
2.70,CR07,4,576,0x12B5,0x079,RAM_0x079,0x24,0x8A,"1,2,3,5,7",direct
2.70,CR07,5,577,0x12B6,0x07A,RAM_0x07A,0x02,0x01,"0,1",direct
2.70,CR07,6,578,0x12B7,0x079,RAM_0x079,0x8A,0x45,"0,1,2,3,6,7",direct
2.70,CR07,7,579,0x12B8,0x003,STATUS,0x18,0x19,0,alu-flag
2.70,CR07,8,579,0x12B8,0x07A,RAM_0x07A,0x01,0x00,0,direct
2.70,CR07,9,580,0x12B9,0x079,RAM_0x079,0x45,0xA2,"0,1,2,5,6,7",direct
2.70,CR07,10,581,0x12BA,0x003,STATUS,0x19,0x18,0,alu-flag
2.70,CR07,11,581,0x12BA,0x07A,RAM_0x07A,0x00,0x80,7,direct
2.70,CR07,12,582,0x12BB,0x079,RAM_0x079,0xA2,0x51,"0,1,4,5,6,7",direct
2.70,CR07,13,584,0x12BD,0x003,STATUS,0x18,0x38,5,direct
2.70,CR07,14,585,0x12BE,0x0CB,RAM_0x0CB,0x00,0x51,"0,4,6",direct
2.70,CR08,1,574,0x12C1,0x003,STATUS,0x18,0x38,5,direct
2.70,CR08,2,575,0x12C2,0x0CB,RAM_0x0CB,0x00,0x07,"0,1,2",direct
2.70,CR09,1,573,0x12C4,0x003,STATUS,0x18,0x1C,2,alu-flag
2.70,CR09,2,574,0x12C5,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR0A,1,577,0x12C8,0x003,STATUS,0x18,0x1C,2,alu-flag
2.70,CR0A,2,578,0x12C9,0x003,STATUS,0x1C,0x3C,5,direct
2.70,CR0B,1,578,0x12CD,0x003,STATUS,0x1A,0x3A,5,direct
2.70,CR0B,2,579,0x12CE,0x0CB,RAM_0x0CB,0x00,0x02,1,direct
2.70,CR0C,1,578,0x12D1,0x003,STATUS,0x1A,0x3A,5,direct
2.70,CR0C,2,579,0x12D2,0x0CB,RAM_0x0CB,0x00,0x70,"4,5,6",direct
2.70,CR0D,1,577,0x12D4,0x003,STATUS,0x1A,0x3A,5,direct
2.70,CR0D,2,578,0x12D5,0x003,STATUS,0x3A,0x3E,2,alu-flag
2.70,CR0E,1,578,0x12D8,0x003,STATUS,0x1A,0x3A,5,direct
2.70,CR0E,2,579,0x12D9,0x0CB,RAM_0x0CB,0x00,0x02,1,direct
2.71,CR00,1,573,0x1222,0x003,STATUS,0x18,0x1C,2,alu-flag
2.71,CR00,2,574,0x1223,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR01,1,573,0x1225,0x003,STATUS,0x18,0x1C,2,alu-flag
2.71,CR01,2,574,0x1226,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR02,1,573,0x1229,0x00A,PCLATH,0x13,0x03,4,direct
2.71,CR02,2,574,0x122A,0x00A,PCLATH,0x03,0x0B,3,direct
2.71,CR02,3,576,0x0FBB,0x00B,INTCON,0xD4,0x94,6,direct
2.71,CR02,4,577,0x0FBC,0x00B,INTCON,0x94,0x14,7,direct
2.71,CR02,5,582,0x0FC2,0x008,PORTD,0x04,0x84,7,direct
2.71,CR02,6,586,0x0FC7,0x008,PORTD,0x84,0xA4,5,direct
2.71,CR02,7,590,0x0FCC,0x008,PORTD,0xA4,0xC4,"5,6",direct
2.71,CR02,8,594,0x0FD1,0x00B,INTCON,0x14,0xD4,"6,7",direct
2.71,CR02,9,596,0x122C,0x00A,PCLATH,0x0B,0x1B,4,direct
2.71,CR02,10,597,0x122D,0x00A,PCLATH,0x1B,0x13,3,direct
2.71,CR02,11,598,0x122E,0x003,STATUS,0x18,0x38,5,direct
2.71,CR02,12,599,0x122F,0x003,STATUS,0x38,0x3C,2,alu-flag
2.71,CR02,13,600,0x1230,0x003,STATUS,0x3C,0x1C,5,direct
2.71,CR02,14,617,0x1259,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR03,1,573,0x125B,0x003,STATUS,0x18,0x38,5,direct
2.71,CR03,2,574,0x125C,0x003,STATUS,0x38,0x3C,2,alu-flag
2.71,CR03,3,575,0x125D,0x003,STATUS,0x3C,0x1C,5,direct
2.71,CR03,4,583,0x126F,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR03,5,584,0x1270,0x0CB,RAM_0x0CB,0x00,0x08,3,direct
2.71,CR03,6,585,0x1271,0x003,STATUS,0x3C,0x1C,5,direct
2.71,CR03,7,586,0x1272,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR04,1,573,0x1274,0x003,STATUS,0x18,0x38,5,direct
2.71,CR04,2,575,0x1276,0x0CB,RAM_0x0CB,0x00,0x41,"0,6",direct
2.71,CR05,1,573,0x1278,0x003,STATUS,0x18,0x1C,2,alu-flag
2.71,CR05,2,574,0x1279,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR06,1,573,0x127C,0x003,STATUS,0x18,0x38,5,direct
2.71,CR06,2,574,0x127D,0x003,STATUS,0x38,0x3C,2,alu-flag
2.71,CR06,3,575,0x127E,0x003,STATUS,0x3C,0x1C,5,direct
2.71,CR06,4,577,0x1281,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR06,5,578,0x1282,0x0CB,RAM_0x0CB,0x00,0x01,0,direct
2.71,CR06,6,579,0x1283,0x003,STATUS,0x3C,0x1C,5,direct
2.71,CR06,7,581,0x1286,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR06,8,582,0x1287,0x0CB,RAM_0x0CB,0x01,0x03,1,direct
2.71,CR06,9,583,0x1288,0x003,STATUS,0x3C,0x1C,5,direct
2.71,CR06,10,586,0x128E,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR07,1,573,0x1290,0x003,STATUS,0x18,0x19,0,alu-flag
2.71,CR07,2,574,0x1291,0x07A,RAM_0x07A,0x00,0x02,1,direct
2.71,CR07,3,575,0x1292,0x003,STATUS,0x19,0x18,0,alu-flag
2.71,CR07,4,576,0x1293,0x079,RAM_0x079,0x24,0x8A,"1,2,3,5,7",direct
2.71,CR07,5,577,0x1294,0x07A,RAM_0x07A,0x02,0x01,"0,1",direct
2.71,CR07,6,578,0x1295,0x079,RAM_0x079,0x8A,0x45,"0,1,2,3,6,7",direct
2.71,CR07,7,579,0x1296,0x003,STATUS,0x18,0x19,0,alu-flag
2.71,CR07,8,579,0x1296,0x07A,RAM_0x07A,0x01,0x00,0,direct
2.71,CR07,9,580,0x1297,0x079,RAM_0x079,0x45,0xA2,"0,1,2,5,6,7",direct
2.71,CR07,10,581,0x1298,0x003,STATUS,0x19,0x18,0,alu-flag
2.71,CR07,11,581,0x1298,0x07A,RAM_0x07A,0x00,0x80,7,direct
2.71,CR07,12,582,0x1299,0x079,RAM_0x079,0xA2,0x51,"0,1,4,5,6,7",direct
2.71,CR07,13,584,0x129B,0x003,STATUS,0x18,0x38,5,direct
2.71,CR07,14,585,0x129C,0x0CB,RAM_0x0CB,0x00,0x51,"0,4,6",direct
2.71,CR08,1,574,0x129F,0x003,STATUS,0x18,0x38,5,direct
2.71,CR08,2,575,0x12A0,0x0CB,RAM_0x0CB,0x00,0x07,"0,1,2",direct
2.71,CR09,1,573,0x12A2,0x003,STATUS,0x18,0x1C,2,alu-flag
2.71,CR09,2,574,0x12A3,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR0A,1,577,0x12A6,0x003,STATUS,0x18,0x1C,2,alu-flag
2.71,CR0A,2,578,0x12A7,0x003,STATUS,0x1C,0x3C,5,direct
2.71,CR0B,1,578,0x12AB,0x003,STATUS,0x18,0x38,5,direct
2.71,CR0B,2,579,0x12AC,0x0CB,RAM_0x0CB,0x00,0x02,1,direct
2.71,CR0C,1,578,0x12AF,0x003,STATUS,0x18,0x38,5,direct
2.71,CR0C,2,579,0x12B0,0x0CB,RAM_0x0CB,0x00,0x71,"0,4,5,6",direct
2.71,CR0D,1,577,0x12B2,0x003,STATUS,0x18,0x38,5,direct
2.71,CR0D,2,578,0x12B3,0x003,STATUS,0x38,0x3C,2,alu-flag
2.71,CR0E,1,577,0x12B5,0x003,STATUS,0x1A,0x3A,5,direct
2.71,CR0E,2,578,0x12B6,0x003,STATUS,0x3A,0x3E,2,alu-flag
