version,request,action,address,name,via,count,values,pcs
2.02,CW0100,write,0x0D1,RAM_0x0D1,direct,107,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x40 0x41 0x42 0x43 0x44 0x45 0x46 0x47 0x48 0x49 0x4A 0x4B 0x4C 0x4D 0x4E 0x4F 0x50 0x51 0x52 0x53 0x54 0x55 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x5D 0x5E 0x5F 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x68 0x69,0x08BB 0x08D9 0x08E7 0x08F5
2.02,CW0100,write,0x0D2,RAM_0x0D2,direct,107,0x00 0x03 0x04 0x06 0x09 0x0C 0x0F 0x12 0x15 0x18 0x20 0x22 0x25 0x28 0x2B 0x2D 0x2E 0x30 0x31 0x32 0x34 0x37 0x3A 0x3D 0x41 0x42 0x45 0x46 0x47 0x49 0x4A 0x4C 0x4D 0x4E 0x4F 0x50 0x52 0x53 0x55 0x56 0x58 0x59 0x5C 0x5F 0x62 0x69 0x6C 0x6F 0x72 0x75 0x78 0x7B 0x7E 0x81 0x84 0x87 0x8E 0x91 0x94 0x97 0x9A 0x9D 0xA0 0xA3 0xA6 0xA9 0xB3 0xB5 0xB6 0xB9 0xBC 0xBF 0xC2 0xC5 0xC8 0xCB 0xCE 0xD8 0xDB 0xDE 0xE1 0xE4 0xE7 0xEA 0xED 0xF0 0xF3 0xFD,0x07E6
2.02,CW0100,write,0x10C,EEDATA,direct,2,0x59 0xB5,0x10AE 0x10CE
2.02,CW0100,write,0x10D,EEADR,direct,109,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1B 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x32 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x40 0x41 0x42 0x43 0x44 0x45 0x46 0x47 0x48 0x49 0x4A 0x4B 0x4C 0x4D 0x4E 0x4F 0x50 0x51 0x52 0x53 0x54 0x55 0x56 0x57 0x58 0x59 0x5A 0x5B 0x5C 0x5D 0x5E 0x5F 0x60 0x61 0x62 0x63 0x64 0x65 0x66 0x67 0x68 0x69,0x07DE 0x10A8 0x10C8
2.02,CW0100,write,0x10E,RAM_0x10E,direct,109,0x00,0x07D8 0x10A7 0x10C6
2.02,CW0100,write,0x18C,EECON1,direct,222,0x00 0x01 0x04 0x06,0x07E0 0x07E1 0x10B0 0x10B1 0x10BD 0x10C0 0x10D0 0x10D1 0x10DD 0x10E0
2.02,CW0100,write,0x18D,EECON2,direct,4,0x55 0xAA,0x10BA 0x10BC 0x10DA 0x10DC
2.02,CW0200,read,0x003,STATUS,direct,1,0x18,0x10ED
2.02,CW0200,read,0x050,RAM_0x050,direct,1,0x00,0x10EC
2.02,CW0200,write,0x003,STATUS,direct,1,0x38,0x10ED
2.02,CW0200,write,0x050,RAM_0x050,direct,1,0x08,0x10EC
2.02,CW0300,read,0x003,STATUS,direct,1,0x18,0x10F0
2.02,CW0300,read,0x050,RAM_0x050,direct,1,0x00,0x10EF
2.02,CW0300,write,0x003,STATUS,direct,1,0x38,0x10F0
2.02,CW0300,write,0x050,RAM_0x050,direct,1,0x00,0x10EF
2.02,CW04A5,read,0x003,STATUS,direct,32,0x04 0x18 0x19 0x1C 0x1D 0x38,0x0005 0x0017 0x0018 0x01E6 0x01F8 0x01FE 0x0205 0x10F2 0x10F4 0x10F9
2.02,CW04A5,read,0x004,FSR,direct,1,0xA7,0x000B
2.02,CW04A5,read,0x007,PORTC,direct,28,0x00 0x04 0x20 0x24,0x01FA 0x0200 0x0201 0x0202
2.02,CW04A5,read,0x008,PORTD,direct,9,0x04 0x24 0x44 0x64 0x84 0xA4 0xC4 0xE4,0x01F6 0x0204
2.02,CW04A5,read,0x00A,PCLATH,direct,7,0x00 0x02 0x12,0x0008 0x0042 0x0043 0x01EB 0x01EC 0x10F6 0x10F8
2.02,CW04A5,read,0x00B,INTCON,direct,6,0x14 0x54 0x94 0xD4,0x0019 0x001B 0x01F1 0x01F2 0x01F3 0x0209
2.02,CW04A5,read,0x00C,PIR1,direct,3,0x5A,0x0021 0x0027 0x01EA
2.02,CW04A5,read,0x020,RAM_0x020,direct,1,0x02,0x0035
2.02,CW04A5,read,0x021,RAM_0x021,direct,1,0x91,0x0037
2.02,CW04A5,read,0x022,RAM_0x022,direct,1,0xA7,0x0029
2.02,CW04A5,read,0x023,RAM_0x023,direct,1,0x20,0x002B
2.02,CW04A5,read,0x024,RAM_0x024,direct,1,0xA5,0x002D
2.02,CW04A5,read,0x025,RAM_0x025,direct,1,0x11,0x002F
2.02,CW04A5,read,0x026,RAM_0x026,direct,1,0x00,0x0031
2.02,CW04A5,read,0x027,RAM_0x027,direct,1,0x00,0x0033
2.02,CW04A5,read,0x031,RAM_0x031,direct,1,0x91,0x01DB
2.02,CW04A5,read,0x038,RAM_0x038,direct,1,0x00,0x01E5
2.02,CW04A5,read,0x048,RAM_0x048,direct,8,0xA5,0x01FB
2.02,CW04A5,read,0x04C,RAM_0x04C,direct,1,0x20,0x01DF
2.02,CW04A5,read,0x074,RAM_0x074,direct,25,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x01F7 0x01FC 0x0206
2.02,CW04A5,read,0x077,RAM_0x077,direct,1,0x20,0x000D
2.02,CW04A5,read,0x078,RAM_0x078,direct,1,0xA5,0x000F
2.02,CW04A5,read,0x079,RAM_0x079,direct,1,0x11,0x0011
2.02,CW04A5,read,0x07A,RAM_0x07A,direct,1,0x00,0x0013
2.02,CW04A5,read,0x07B,RAM_0x07B,direct,1,0x00,0x0015
2.02,CW04A5,read,0x07F,RAM_0x07F,direct,2,0x0C 0xC0,0x0039 0x003A
2.02,CW04A5,read,0x08C,PIE1,indirect,2,0x22,0x001F 0x0025
2.02,CW04A5,read,0x0CD,RAM_0x0CD,direct,1,0xA5,0x10F3
2.02,CW04A5,write,0x003,STATUS,direct,15,0x00 0x04 0x18 0x19 0x38 0x39,0x0006 0x0017 0x0018 0x0038 0x0205 0x10F2 0x10F4 0x10F9
2.02,CW04A5,write,0x004,FSR,direct,3,0x8C 0xA7,0x001E 0x0024 0x002A
2.02,CW04A5,write,0x007,PORTC,direct,28,0x00 0x04 0x20 0x24,0x01FA 0x0200 0x0201 0x0202
2.02,CW04A5,write,0x008,PORTD,direct,9,0x04 0x24 0x44 0x64 0x84 0xA4 0xC4 0xE4,0x01F6 0x0204
