version,request,address,name,read_count,values,pcs,via
2.70,CR02,0x00B,INTCON,4,0x14 0x94 0xD4,0x1000 0x1001 0x1002 0x1016,direct
2.70,CR02,0x051,RAM_0x051,7,0x00,0x1008 0x100D 0x1012 0x1253 0x1258 0x125D 0x1262,direct
2.70,CR03,0x003,STATUS,5,0x18 0x1C 0x3C,0x127D 0x127F 0x1291 0x1293 0x1294,direct
2.70,CR03,0x006,PORTB,2,0x00,0x1280 0x1285,direct
2.70,CR03,0x056,RAM_0x056,2,0x80,0x128A 0x128F,direct
2.70,CR03,0x0CB,RAM_0x0CB,1,0x00,0x1292,direct
2.70,CR04,0x003,STATUS,1,0x18,0x1296,direct
2.70,CR04,0x0A2,RAM_0x0A2,1,0x41,0x1297,direct
2.70,CR05,0x003,STATUS,1,0x1C,0x129B,direct
2.70,CR05,0x034,RAM_0x034,1,0x00,0x129A,direct
2.70,CR06,0x003,STATUS,7,0x18 0x1C 0x3C,0x129E 0x12A0 0x12A3 0x12A5 0x12A8 0x12AA 0x12B0,direct
2.70,CR06,0x006,PORTB,1,0x00,0x12AB,direct
2.70,CR06,0x02D,RAM_0x02D,2,0x07,0x12A1 0x12A6,direct
2.70,CR06,0x0CB,RAM_0x0CB,2,0x00 0x01,0x12A4 0x12A9,direct
2.70,CR07,0x003,STATUS,1,0x18,0x12BD,direct
2.70,CR07,0x044,RAM_0x044,1,0x14,0x12B4,direct
2.70,CR07,0x045,RAM_0x045,1,0x05,0x12B2,direct
2.70,CR07,0x079,RAM_0x079,4,0x45 0x51 0x8A 0xA2,0x12B7 0x12B9 0x12BB 0x12BC,direct
2.70,CR07,0x07A,RAM_0x07A,3,0x00 0x01 0x02,0x12B6 0x12B8 0x12BA,direct
2.70,CR08,0x003,STATUS,1,0x18,0x12C1,direct
2.70,CR09,0x003,STATUS,1,0x1C,0x12C5,direct
2.70,CR09,0x02E,RAM_0x02E,1,0x00,0x12C4,direct
2.70,CR0A,0x003,STATUS,1,0x1C,0x12C9,direct
2.70,CR0A,0x02F,RAM_0x02F,1,0x00,0x12C8,direct
2.70,CR0B,0x003,STATUS,1,0x1A,0x12CD,direct
2.70,CR0C,0x003,STATUS,1,0x1A,0x12D1,direct
2.70,CR0D,0x003,STATUS,1,0x1A,0x12D4,direct
2.70,CR0E,0x003,STATUS,1,0x1A,0x12D8,direct
2.71,CR00,0x003,STATUS,1,0x1C,0x1223,direct
2.71,CR01,0x003,STATUS,1,0x1C,0x1226,direct
2.71,CR01,0x053,RAM_0x053,1,0x00,0x1225,direct
2.71,CR02,0x003,STATUS,3,0x18 0x1C 0x3C,0x122E 0x1230 0x1259,direct
2.71,CR02,0x008,PORTD,10,0x04 0x84 0xA4 0xC4,0x0FC0 0x0FC2 0x0FC4 0x0FC7 0x0FC9 0x0FCC 0x0FCE 0x1245 0x124A 0x124F,direct
2.71,CR02,0x009,PORTE,1,0x04,0x1254,direct
2.71,CR02,0x00A,PCLATH,4,0x03 0x0B 0x13 0x1B,0x1229 0x122A 0x122C 0x122D,direct
2.71,CR02,0x00B,INTCON,4,0x14 0x94 0xD4,0x0FBB 0x0FBC 0x0FBD 0x0FD1,direct
2.71,CR02,0x051,RAM_0x051,7,0x00,0x0FC3 0x0FC8 0x0FCD 0x1231 0x1236 0x123B 0x1240,direct
2.71,CR03,0x003,STATUS,5,0x18 0x1C 0x3C,0x125B 0x125D 0x126F 0x1271 0x1272,direct
2.71,CR03,0x006,PORTB,2,0x00,0x125E 0x1263,direct
2.71,CR03,0x056,RAM_0x056,2,0x80,0x1268 0x126D,direct
2.71,CR03,0x0CB,RAM_0x0CB,1,0x00,0x1270,direct
2.71,CR04,0x003,STATUS,1,0x18,0x1274,direct
2.71,CR04,0x0A2,RAM_0x0A2,1,0x41,0x1275,direct
2.71,CR05,0x003,STATUS,1,0x1C,0x1279,direct
2.71,CR05,0x034,RAM_0x034,1,0x00,0x1278,direct
2.71,CR06,0x003,STATUS,7,0x18 0x1C 0x3C,0x127C 0x127E 0x1281 0x1283 0x1286 0x1288 0x128E,direct
2.71,CR06,0x006,PORTB,1,0x00,0x1289,direct
2.71,CR06,0x02D,RAM_0x02D,2,0x07,0x127F 0x1284,direct
2.71,CR06,0x0CB,RAM_0x0CB,2,0x00 0x01,0x1282 0x1287,direct
2.71,CR07,0x003,STATUS,1,0x18,0x129B,direct
2.71,CR07,0x044,RAM_0x044,1,0x14,0x1292,direct
2.71,CR07,0x045,RAM_0x045,1,0x05,0x1290,direct
2.71,CR07,0x079,RAM_0x079,4,0x45 0x51 0x8A 0xA2,0x1295 0x1297 0x1299 0x129A,direct
2.71,CR07,0x07A,RAM_0x07A,3,0x00 0x01 0x02,0x1294 0x1296 0x1298,direct
2.71,CR08,0x003,STATUS,1,0x18,0x129F,direct
2.71,CR09,0x003,STATUS,1,0x1C,0x12A3,direct
2.71,CR09,0x02E,RAM_0x02E,1,0x00,0x12A2,direct
2.71,CR0A,0x003,STATUS,1,0x1C,0x12A7,direct
2.71,CR0A,0x02F,RAM_0x02F,1,0x00,0x12A6,direct
2.71,CR0B,0x003,STATUS,1,0x18,0x12AB,direct
2.71,CR0C,0x003,STATUS,1,0x18,0x12AF,direct
2.71,CR0D,0x003,STATUS,1,0x18,0x12B2,direct
2.71,CR0E,0x003,STATUS,1,0x1A,0x12B5,direct
