comparison,source_old,source_new,name,occurrence,status,old_va,new_va,old_size,new_size,old_normalized_sha256,new_normalized_sha256
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupDebug(int, int, int, int)",0,changed,0x00414AD0,0x00416790,832,832,66e51c72d8aaf24d194e68f1f020c73b8a7b07aa9cb22711900a48f82fb33c53,c0e43ecaf5b36634ccc1dd0510eefd1814b6079956d877c7a192914778ed68f3
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupFlueMonitor(int, int, int, int)",0,changed,0x00414E10,0x00416AD0,992,992,d091ff8416b343e57005bbbd061a31bf8260540897faa1c505fe738b22147496,ba53a1c2b95a8208aea3a14bd3d52f296d3a1fae038fac1b672867dcba7fc8f4
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupFuelMonitor(HWND__*, int, int, int, int, int)",0,changed,0x004151F0,0x00416EB0,960,1504,caed127d7da791c17f2997482a3047771540a10a211b8d87053b004a1de820c4,046f435ea72e093ce0dc942b8beb481814db48d649470e9a790d6561203b26b9
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupIndividualization(int, int, int, int)",0,changed,0x00414310,0x00415F50,784,912,55bdb4649410a9874575b858bee63f3a3ed73e9bd567976e4692cc1f121d1711,6a06b9ece0b6868d5d8fa1b4922d94f328e52274582be04c6ac7a3fad734a343
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupPanel(int, int, int, int)",0,changed,0x00415E70,0x00417D50,368,368,30d08ce75d0fe41fff981870934dfbbac28692da8487190b8aebb61c8ecec11f,ed96f5b7fb86760cffed08a9a32fd8dccfc9c71ca3809dd3a7f7f6d000238760
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupQuickCal(int, int, int, int)",0,changed,0x00414620,0x004162E0,1200,1200,0107f4c0769dfcd409344fb4612d6e6a016fbccda7c99a2cbbe6c3af8a0b8346,0dd64d3932d3c9eb99d2ebee9bfde8c9fb11f24af5b8f3bd2a1b6225be53ca53
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupTelemetry(int, int, int, int)",0,changed,0x00414100,0x00415D40,528,528,66ed65dfb9abfd9b0597040f7ef8db3df5a2e196fcd9d833bdc51f3b4e358280,59619252f2f831f1802ec07f9e2b72b80e5d67d942b056abd278d77f47f0a869
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110DialogSetupUtilityWindowButtons(int, int, int, int)",0,changed,0x00415FE0,0x00417EC0,240,240,84c5b323de3d09cc24b299589e2c03866b1290201adada68b5d9152e40fa7019,147a32d2768f4a390cfde46b4f79a21a59f256a6c5a10ddb611cbd3e2436bbb4
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::Bixby110DialogSetupUtilityWindows(),0,changed,0x004155B0,0x00417490,1472,1472,9b44577e16abde92dddb92aa55afc59f75d402b9ae8f848a7784a8bb3a3be4dd,40376b82aea7ac0fb5937145fe5f6dd50d27890314969f6144b58e2d271dbacf
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110Initialize(unsigned char, unsigned char)",0,changed,0x004136E0,0x004152C0,288,384,c5489294d0f1d3e2f401ca61ad2c4413781c7335398b466d68734d36694c9a47,3e77fc86131f593721d81163b583c8b434a76651cf0d39b9e3eca8ac35482403
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::Bixby110TuneAdjustments(unsigned char),0,changed,0x00412F20,0x004149C0,1984,2304,99635b48eeee67a73c0dccacea670271593b2fd56d25c6dbb57d4f8cec49d32f,20d76a9ea4f7884b2fca6dae9f83b7b9eb6655495b9dd7040c105c9f3574ca37
