version,file_offset,matched_terms,string
5.5.01,0x0003EED9,exhaust fan,Exhaust fan phase
5.5.01,0x0003EFE1,igniter,Igniter state
5.5.01,0x0003F001,igniter,"Igniter code, Igniter state"
5.5.01,0x0003F401,igniter,Igniter current
5.5.01,0x0003F421,igniter,Igniter current
5.5.01,0x0003F509,exhaust fan,Exhaust fan target
5.5.01,0x0003F719,telemetry,Telemetry Mode
5.5.01,0x0003FE06,serial,Serial port open failed
5.5.01,0x00040068,checkout,Waiting after checkout mode off: %d
5.5.01,0x00040144,checkout,The checkout file:
5.5.01,0x0004017C,checkout,Checkout File Save
5.5.01,0x000401D3,checksum,Checksum: %04x
5.5.01,0x000401E4,data format,Data Format: %02x
5.5.01,0x000401F8,serial,Serial Number: %s
5.5.01,0x00040374,checkout,COM %d: Bixby Energy 110 / 115 Checkout 5.5.01
5.5.01,0x0004043F,checkout,Bixby110Checkout
5.5.01,0x0004046C,checksum,Internal checksum: %x  Calculated checksum: %x
5.5.01,0x0004049C,checksum,Checksum problem. Check in the Monitor
5.5.01,0x000404F0,data format,Data format problem. Check in the Monitor
5.5.01,0x000407D0,checksum,These show the checksum information.
5.5.01,0x00040810,serial,"These parameters set up the serial number, model name, "
5.5.01,0x00040B8B,telemetry,with the check boxes in the Telemetry window.
5.5.01,0x00040EA0,exhaust fan,exhaust fan and the right is -30% to +30% for the feed rate.
5.5.01,0x00040EDE,exhaust fan,"When this box is checked, then the exhaust fan control is "
5.5.01,0x000410B0,lean burn,Sets the adjustments that are active while in the lean burn 
5.5.01,0x000411A8,exhaust fan,adjustment for the exhaust fan and +30 percent adjustment for 
5.5.01,0x0004124B,lean burn,stove will enter lean burn recovery mode. This is a percentage 
5.5.01,0x000412CB,telemetry,in Telemetry. The drop limit determines the amount the exhaust 
5.5.01,0x000413CB,lean burn,"to enter the lean burn recovery mode, while maintaining the "
5.5.01,0x00041B3E,igniter,processes. The Igniter on time is adjusted to a 
5.5.01,0x00041B9F,igniter,"parameter. For instance, if the default igniter on time "
5.5.01,0x00041BD8,igniter,"is 3 minutes and this parameter is 150, then the igniter "
5.5.01,0x00041CFE,corn,"feed. If the value for corn was 16, then the ash dump "
5.5.01,0x00041D6E,corn,corresponds to an ash content of around 1% for corn. For 
5.5.01,0x00042070,telemetry,This turns telemetry data transmission from the stove on 
5.5.01,0x000420AA,telemetry,or off. The stove will send telemetry data for a time 
5.5.01,0x00042170,exhaust fan,Adjusts the fan table to compensate for the exhaust fan type. 
5.5.01,0x000423A6,checkout,the Checkout program.
5.5.01,0x000423D0,telemetry,This window displays telemetry data from the stove. 
5.5.01,0x000427AF,checksum,Checksum: %04x
5.5.01,0x000427C0,data format,Data Format: %02x
5.5.01,0x000427D4,serial,Serial Number: %s
5.5.01,0x0004284B,telemetry,About telemetry data
5.5.01,0x000428C8,checksum,About checksum data
5.5.01,0x000429D8,lean burn,About lean burn fuel mix adjustments
5.5.01,0x00042A00,lean burn,About lean burn threshold adjustments
5.5.01,0x00042E88,serial,Serial Number: 
5.5.01,0x000432A4,serial,Too many files for this serial number; range is 01 to 99.
5.5.01,0x00058637,downloader,Downloader
5.5.01,0x00058750,downloader,COM %d: Bixby Energy Model 110 / 115 Downloader 2.71
5.5.01,0x000587A0,checksum,Checksum
5.5.01,0x00058804,igniter,"Unplug stove, unplug igniters, select 'Use internal firmware' or 'Load' for a new firmware file"
5.5.01,0x00058890,stove software,Stove software .hex file
5.5.01,0x00058900,igniter,Download process completed. Plug the igniters back in
5.5.01,0x00058936,downloader,Important Downloader Message
5.5.01,0x00058C67,checkout,Checkout 5.0
5.5.01,0x00058C74,downloader,Downloader 2.71
5.5.01,0x00058CA8,bixcheck,About BixCheck
5.5.01,0x00058CB8,checkout,"Bixby Energy Systems stove Monitor, Checkout,"
5.5.01,0x00058CE6,downloader,and Downloader interface.
5.5.01,0x00058D38,stove software,"Use stove software 02.71, database version 07."
5.5.01,0x00058DB9,corn,http://www.iburncorn.com/
5.5.01,0x0006871B,checkout,__ZN16bixby110checkoutC2Ev
5.5.01,0x00068736,checkout,__ZN16bixby110checkoutC1Ev
5.5.01,0x00068751,checkout,__ZN16bixby110checkoutD2Ev
5.5.01,0x0006876C,checkout,__ZN16bixby110checkoutD1Ev
5.5.01,0x00068787,checkout,__ZN16bixby110checkout7ChkStopEv
5.5.01,0x000687A8,checkout,__ZN16bixby110checkout21SendInteractiveActionEi
5.5.01,0x000687D8,checkout,__ZN16bixby110checkout21ReadInteractiveResultEi
5.5.01,0x00068808,checkout,__ZN16bixby110checkout24AnalyzeInteractiveResultEi
5.5.01,0x0006883B,checkout,__ZN16bixby110checkout19SendAutomaticActionEi
5.5.01,0x00068869,checkout,__ZN16bixby110checkout13IterativeReadEjhh
5.5.01,0x00068893,checkout,__ZN16bixby110checkout13IterativeScanEjhj
5.5.01,0x000688BD,checkout,__ZN16bixby110checkout19ReadAutomaticResultEi
5.5.01,0x000688EB,checkout,__ZN16bixby110checkout7writelnEPvPc
5.5.01,0x0006890F,checkout,__ZN16bixby110checkout14GenerateReportEv
5.5.01,0x00068938,checkout,__ZN16bixby110checkout18Bixby110UpdateDataEv
5.5.01,0x00068965,checkout,__ZN16bixby110checkout37Bixby110SetupCheckoutInteractiveTestsEiiii
5.5.01,0x000689A8,checkout,__ZN16bixby110checkout35Bixby110SetupCheckoutAutomaticTestsEiiii
5.5.01,0x000689E9,checkout,__ZN16bixby110checkout42Bixby110SetupCheckoutIndividualizationDataEiiii
5.5.01,0x00068A31,checkout,__ZN16bixby110checkout16Bixby110CheckoutEP11HINSTANCE__ih
5.5.01,0x00068A6B,checkout,__ZN16bixby110checkout22AnalyzeAutomaticResultEi
5.5.01,0x00069033,checksum,__ZN10bixby110io17CalculateChecksumEh
5.5.01,0x0006908A,telemetry,__GLOBAL__I_Bixby110TelemetryData
5.5.01,0x000690AC,telemetry,__GLOBAL__D_Bixby110TelemetryData
5.5.01,0x000690FA,checksum,_HELP_ADJUSTMENT_CHECKSUM
5.5.01,0x00069385,telemetry,_HELP_UTILITY_TELEMETRY
5.5.01,0x00069448,telemetry,_HELP_WINDOW_TELEMETRY
5.5.01,0x0006997B,telemetry,__ZN15bixby110control28Bixby110DialogSetupTelemetryEiiii
5.5.01,0x00069C63,downloader,__ZN18bixby110downloaderC2Ev
5.5.01,0x00069C80,downloader,__ZN18bixby110downloaderC1Ev
5.5.01,0x00069C9D,downloader,__ZN18bixby110downloaderD2Ev
5.5.01,0x00069CBA,downloader,__ZN18bixby110downloaderD1Ev
5.5.01,0x00069CD7,downloader,__ZN18bixby110downloader2gxEc
5.5.01,0x00069CF5,downloader,__ZN18bixby110downloader3g2xEPc
5.5.01,0x00069D15,downloader,__ZN18bixby110downloader3g4xEPc
5.5.01,0x00069D35,downloader,__ZN18bixby110downloader7getbyteEhPh
5.5.01,0x00069D5A,downloader,__ZN18bixby110downloader7getbyteEPh
5.5.01,0x00069D7E,downloader,__ZN18bixby110downloader8sendbyteEc
5.5.01,0x00069DA2,downloader,__ZN18bixby110downloader15GetStoveVersionEv
5.5.01,0x00069DCE,downloader,__ZN18bixby110downloader17AttemptStoveResetEv
5.5.01,0x00069DFC,downloader,__ZN18bixby110downloader8SendDoneEv
5.5.01,0x00069E39,downloader,__ZN18bixby110downloader12LoadHex_OpenEPc
5.5.01,0x00069E63,downloader,__ZN18bixby110downloader12LoadHex_ReadEv
5.5.01,0x00069E8C,downloader,__ZN18bixby110downloader13LoadHex_CloseEv
5.5.01,0x00069EB6,downloader,__ZN18bixby110downloader7LoadHexEPc
5.5.01,0x00069EDA,downloader,__ZN18bixby110downloader8DownLoadEv
5.5.01,0x00069EFE,downloader,__ZN18bixby110downloader8IdentifyEv
5.5.01,0x00069F22,downloader,__ZN18bixby110downloader18Bixby110DownloaderEP11HINSTANCE__iPch
5.5.01,0x00069F62,downloader,__ZN18bixby110downloader13StatusMessageEPc
5.5.01,0x00069F8D,downloader,Bixby110Downloader.cpp
5.5.01,0x000707C5,checkout,_Bixby110AutomaticCheckoutTests
5.5.01,0x00070A89,telemetry,_Bixby110TelemetryData
5.5.01,0x00070E0B,corn,_text_iburncorn
5.5.01,0x000710B0,checkout,_Bixby110InteractiveCheckoutTests
5.5.01,0x000712B4,checkout,_cp_checkout
