version,table,index,symbol,section_offset,type,label,units_or_description,value_or_default,unit,address,address_hex,maximum,minimum,length_or_mask,display_mode
5.0.21,adjustments,37,Bixby110AdjustmentData,0x5998,1,L3,,0,A,114,0x72,0,0,1,2
5.0.21,adjustments,38,Bixby110AdjustmentData,0x59F0,1,L4,,0,A,115,0x73,0,0,1,2
5.0.21,adjustments,39,Bixby110AdjustmentData,0x5A48,1,L5,,0,A,116,0x74,0,0,1,2
5.0.21,adjustments,40,Bixby110AdjustmentData,0x5AA0,1,L6,,0,A,117,0x75,0,0,1,2
5.0.21,adjustments,41,Bixby110AdjustmentData,0x5AF8,1,L7,,0,A,118,0x76,0,0,1,2
5.0.21,adjustments,42,Bixby110AdjustmentData,0x5B50,1,L8,,0,A,119,0x77,0,0,1,2
5.0.21,adjustments,43,Bixby110AdjustmentData,0x5BA8,1,L1,,0,A,120,0x78,0,0,1,2
5.0.21,adjustments,44,Bixby110AdjustmentData,0x5C00,1,L2,,0,A,121,0x79,0,0,1,2
5.0.21,adjustments,45,Bixby110AdjustmentData,0x5C58,1,L3,,0,A,122,0x7A,0,0,1,2
5.0.21,adjustments,46,Bixby110AdjustmentData,0x5CB0,1,L4,,0,A,123,0x7B,0,0,1,2
5.0.21,adjustments,47,Bixby110AdjustmentData,0x5D08,1,L5,,0,A,124,0x7C,0,0,1,2
5.0.21,adjustments,48,Bixby110AdjustmentData,0x5D60,1,L6,,0,A,125,0x7D,0,0,1,2
5.0.21,adjustments,49,Bixby110AdjustmentData,0x5DB8,1,L7,,0,A,126,0x7E,0,0,1,2
5.0.21,adjustments,50,Bixby110AdjustmentData,0x5E10,1,L8,,0,A,127,0x7F,0,0,1,2
5.0.21,adjustments,51,Bixby110AdjustmentData,0x5E68,1,L1,,0,A,128,0x80,0,0,1,2
5.0.21,adjustments,52,Bixby110AdjustmentData,0x5EC0,1,L2,,0,A,129,0x81,0,0,1,2
5.0.21,adjustments,53,Bixby110AdjustmentData,0x5F18,1,L3,,0,A,130,0x82,0,0,1,2
5.0.21,adjustments,54,Bixby110AdjustmentData,0x5F70,1,L4,,0,A,131,0x83,0,0,1,2
5.0.21,adjustments,55,Bixby110AdjustmentData,0x5FC8,1,L5,,0,A,132,0x84,0,0,1,2
5.0.21,adjustments,56,Bixby110AdjustmentData,0x6020,1,L6,,0,A,133,0x85,0,0,1,2
5.0.21,adjustments,57,Bixby110AdjustmentData,0x6078,1,L7,,0,A,134,0x86,0,0,1,2
5.0.21,adjustments,58,Bixby110AdjustmentData,0x60D0,1,L8,,0,A,135,0x87,0,0,1,2
5.0.21,adjustments,59,Bixby110AdjustmentData,0x6128,1,Startup fan,,0,A,136,0x88,0,0,1,2
5.0.21,adjustments,60,Bixby110AdjustmentData,0x6180,1,Startup feed,,0,A,137,0x89,0,0,1,2
5.0.21,adjustments,61,Bixby110AdjustmentData,0x61D8,1,Startup time %,,0,A,138,0x8A,0,0,1,2
5.0.21,adjustments,62,Bixby110AdjustmentData,0x6230,1,Igniter time %,,0,A,139,0x8B,0,0,1,2
5.0.21,adjustments,63,Bixby110AdjustmentData,0x6288,1,Ash dump fan,,0,A,144,0x90,0,0,1,2
5.0.21,adjustments,64,Bixby110AdjustmentData,0x62E0,1,Ash dump feed,,0,A,145,0x91,0,0,1,2
5.0.21,adjustments,65,Bixby110AdjustmentData,0x6338,1,Ash dump time %,,0,A,146,0x92,0,0,1,2
5.0.21,adjustments,66,Bixby110AdjustmentData,0x6390,1,Ash dump heat level,,0,A,147,0x93,0,0,1,2
5.0.21,adjustments,67,Bixby110AdjustmentData,0x63E8,1,Ash dump target %,,0,A,148,0x94,0,0,1,2
5.0.21,adjustments,68,Bixby110AdjustmentData,0x6440,1,TC for 25% fan,,0,A,152,0x98,0,0,1,2
5.0.21,adjustments,69,Bixby110AdjustmentData,0x6498,1,TC for 100% fan,,0,A,153,0x99,0,0,1,2
5.0.21,adjustments,70,Bixby110AdjustmentData,0x64F0,1,Thermostat heat level,,0,A,154,0x9A,0,0,1,2
5.0.21,telemetry,0,Bixby110TelemetryData,0x6D60,2,Temperature,"Temp C, Temp F",0,T,0,0x00,0,0,1,1
5.0.21,telemetry,1,Bixby110TelemetryData,0x6DB8,1,Thermocouple,TC Points,0,T,1,0x01,0,0,1,1
5.0.21,telemetry,2,Bixby110TelemetryData,0x6E10,1,Fan potentiometer,"Fan units, Fan %",0,T,2,0x02,0,0,1,1
5.0.21,telemetry,3,Bixby110TelemetryData,0x6E68,1,Feed potentiometer,"Feed units, Feed %",0,T,3,0x03,0,0,1,1
5.0.21,telemetry,4,Bixby110TelemetryData,0x6EC0,1,Exhaust fan speed,"Exh speed cnt, Exh RPM",0,T,4,0x04,0,0,1,1
5.0.21,telemetry,5,Bixby110TelemetryData,0x6F18,1,Exhaust fan phase,"Exh ph cnt, Exh ph us",0,T,5,0x05,0,0,1,1
5.0.21,telemetry,6,Bixby110TelemetryData,0x6F70,1,Convection fan level,Convection %,0,T,6,0x06,0,0,1,1
5.0.21,telemetry,7,Bixby110TelemetryData,0x6FC8,1,Display LED,LED display,0,T,7,0x07,0,0,1,1
5.0.21,telemetry,8,Bixby110TelemetryData,0x7020,5,Igniter state,"Igniter code, Igniter state",0,T,8,0x08,0,0,1,1
5.0.21,telemetry,9,Bixby110TelemetryData,0x7078,1,Current heat level,Current level,0,C,0,0x00,0,0,1,1
5.0.21,telemetry,10,Bixby110TelemetryData,0x70D0,1,Target heat level,Target level,0,C,0,0x00,0,0,1,1
5.0.21,telemetry,11,Bixby110TelemetryData,0x7128,5,State control,"State ctrl, State mode",0,T,9,0x09,0,0,1,1
5.0.21,telemetry,12,Bixby110TelemetryData,0x7180,3,Ash level,Ash level,0,T,10,0x0A,0,0,2,1
5.0.21,telemetry,13,Bixby110TelemetryData,0x71D8,3,Ash target,Ash target,0,T,12,0x0C,0,0,2,1
5.0.21,telemetry,14,Bixby110TelemetryData,0x7230,3,Feed on time,"Feed on 1/120, Feed on s",0,T,14,0x0E,0,0,2,1
5.0.21,telemetry,15,Bixby110TelemetryData,0x7288,3,Feed off time,"Feed off 1/120, Feed off s",0,T,16,0x10,0,0,2,1
5.0.21,telemetry,16,Bixby110TelemetryData,0x72E0,3,Feed cycle time,"Feed cycle 1/120, Feed cycle s",0,C,0,0x00,0,0,2,1
5.0.21,telemetry,17,Bixby110TelemetryData,0x7338,5,IIC status,IIC mode,0,T,18,0x12,0,0,1,1
5.0.21,telemetry,18,Bixby110TelemetryData,0x7390,5,Alarm status,Alarm mode,0,T,19,0x13,0,0,1,1
5.0.21,telemetry,19,Bixby110TelemetryData,0x73E8,5,Flag status,Flag mode,0,T,20,0x14,0,0,1,1
5.0.21,telemetry,20,Bixby110TelemetryData,0x7440,1,Igniter current,Igniter current,0,T,21,0x15,0,0,1,1
5.0.21,telemetry,21,Bixby110TelemetryData,0x7498,1,Firedoor timer,Firedoor units,0,T,22,0x16,0,0,1,1
5.0.21,telemetry,22,Bixby110TelemetryData,0x74F0,1,Ash drawer timer,Ash drawer units,0,T,23,0x17,0,0,1,1
5.0.21,telemetry,23,Bixby110TelemetryData,0x7548,1,Exhaust fan target,"Exh target cnt, Exh tgt RPM",0,T,24,0x18,0,0,1,1
5.0.21,telemetry,24,Bixby110TelemetryData,0x75A0,1,Drop limit,TC drop limit,0,T,25,0x19,0,0,1,1
5.0.21,telemetry,25,Bixby110TelemetryData,0x75F8,3,Feed cycle table,"Feed table 1/120, Feed table s",0,T,26,0x1A,0,0,2,1
5.0.21,telemetry,26,Bixby110TelemetryData,0x7650,3,Feed cycle cal,"Feed cal 1/120, Feed cal s",0,T,28,0x1C,0,0,2,1
5.0.21,telemetry,27,Bixby110TelemetryData,0x76A8,3,Time to ash dump,TtAD,0,V,27,0x1B,0,0,2,1
5.0.21,telemetry,28,Bixby110TelemetryData,0x7700,1,Telemetry Mode,,0,C,0,0x00,0,0,1,3
5.0.21,telemetry,29,Bixby110TelemetryData,0x7758,1,LED No Log,,0,C,32,0x20,0,0,1,3
